bundle,metrics,n_streamlines,vol_mm3,mean,std,median,IQR
atlas_AR_ANT_LEFT,QA,1176,9263.999,0.246077,0.014309,0.245421,0.018172
atlas_AR_ANT_LEFT,QIR,1176,9263.999,0.335727,0.022564,0.335868,0.025305
atlas_AR_ANT_LEFT,FA,1176,9263.999,0.414366,0.033205,0.407111,0.032883
atlas_AR_ANT_LEFT,AD,1176,9263.999,0.001155,5.2e-05,0.001158,6e-05
atlas_AR_ANT_LEFT,RD,1176,9263.999,0.610198,0.054921,0.618467,0.07731
atlas_AR_ANT_LEFT,MD,1176,9263.999,0.000811,5e-05,0.000811,6.8e-05
atlas_AR_ANT_LEFT,ISO,1176,9263.999,0.759289,0.018993,0.755501,0.01475
atlas_AR_ANT_LEFT,RDI,1176,9263.999,0.503101,0.01148,0.500676,0.008205
atlas_AR_ANT_RIGHT,QA,15808,28703.998,0.266868,0.022869,0.26698,0.033879
atlas_AR_ANT_RIGHT,QIR,15808,28703.998,0.358388,0.033128,0.35992,0.048045
atlas_AR_ANT_RIGHT,FA,15808,28703.998,0.455696,0.034044,0.45678,0.045505
atlas_AR_ANT_RIGHT,AD,15808,28703.998,0.00118,5.2e-05,0.001177,5.8e-05
atlas_AR_ANT_RIGHT,RD,15808,28703.998,0.56039,0.053234,0.554633,0.066791
atlas_AR_ANT_RIGHT,MD,15808,28703.998,0.000797,4.7e-05,0.000788,5.2e-05
atlas_AR_ANT_RIGHT,ISO,15808,28703.998,0.766322,0.025239,0.761262,0.029753
atlas_AR_ANT_RIGHT,RDI,15808,28703.998,0.511098,0.014291,0.508202,0.01757
atlas_AR_LEFT,QA,7658,18479.999,0.280501,0.020806,0.280828,0.027049
atlas_AR_LEFT,QIR,7658,18479.999,0.401455,0.033672,0.402442,0.048766
atlas_AR_LEFT,FA,7658,18479.999,0.478345,0.03551,0.483072,0.048609
atlas_AR_LEFT,AD,7658,18479.999,0.001165,4.2e-05,0.001161,5e-05
atlas_AR_LEFT,RD,7658,18479.999,0.53014,0.038094,0.526653,0.055708
atlas_AR_LEFT,MD,7658,18479.999,0.000764,3.5e-05,0.000758,4.8e-05
atlas_AR_LEFT,ISO,7658,18479.999,0.72339,0.022968,0.72229,0.034074
atlas_AR_LEFT,RDI,7658,18479.999,0.490939,0.013215,0.489495,0.021441
atlas_AR_POST_LEFT,QA,7513,20135.999,0.259187,0.031644,0.261072,0.048473
atlas_AR_POST_LEFT,QIR,7513,20135.999,0.367014,0.050962,0.369862,0.080592
atlas_AR_POST_LEFT,FA,7513,20135.999,0.410657,0.042847,0.408666,0.058104
atlas_AR_POST_LEFT,AD,7513,20135.999,0.001126,5.8e-05,0.001128,7.6e-05
atlas_AR_POST_LEFT,RD,7513,20135.999,0.573048,0.041928,0.570726,0.050262
atlas_AR_POST_LEFT,MD,7513,20135.999,0.000773,3.4e-05,0.000769,3.4e-05
atlas_AR_POST_LEFT,ISO,7513,20135.999,0.747174,0.031689,0.746097,0.041754
atlas_AR_POST_LEFT,RDI,7513,20135.999,0.497525,0.014034,0.498298,0.016843
atlas_AR_POST_RIGHT,QA,7195,18095.999,0.235531,0.033954,0.234572,0.048032
atlas_AR_POST_RIGHT,QIR,7195,18095.999,0.33576,0.055681,0.335874,0.078062
atlas_AR_POST_RIGHT,FA,7195,18095.999,0.406436,0.049604,0.408312,0.068122
atlas_AR_POST_RIGHT,AD,7195,18095.999,0.001104,4.9e-05,0.001105,7e-05
atlas_AR_POST_RIGHT,RD,7195,18095.999,0.56172,0.050162,0.556919,0.06822
atlas_AR_POST_RIGHT,MD,7195,18095.999,0.000774,3.3e-05,0.000771,4.6e-05
atlas_AR_POST_RIGHT,ISO,7195,18095.999,0.741277,0.032707,0.736992,0.048196
atlas_AR_POST_RIGHT,RDI,7195,18095.999,0.491334,0.01281,0.489479,0.017958
atlas_AR_RIGHT,QA,2536,10607.999,0.246372,0.015846,0.244468,0.019071
atlas_AR_RIGHT,QIR,2536,10607.999,0.345781,0.022945,0.345092,0.029591
atlas_AR_RIGHT,FA,2536,10607.999,0.477167,0.031365,0.482179,0.037399
atlas_AR_RIGHT,AD,2536,10607.999,0.001141,4e-05,0.001136,5.5e-05
atlas_AR_RIGHT,RD,2536,10607.999,0.533778,0.048096,0.522786,0.051486
atlas_AR_RIGHT,MD,2536,10607.999,0.000771,4.3e-05,0.000756,5.2e-05
atlas_AR_RIGHT,ISO,2536,10607.999,0.732002,0.016373,0.730572,0.022504
atlas_AR_RIGHT,RDI,2536,10607.999,0.491318,0.009963,0.490051,0.015835
atlas_CC_BODY,QA,37366,80711.995,0.337528,0.043055,0.339409,0.05165
atlas_CC_BODY,QIR,37366,80711.995,0.484373,0.072055,0.480292,0.094715
atlas_CC_BODY,FA,37366,80711.995,0.522568,0.07456,0.522057,0.09479
atlas_CC_BODY,AD,37366,80711.995,0.001419,0.000104,0.001403,0.000116
atlas_CC_BODY,RD,37366,80711.995,0.579455,0.145744,0.550837,0.165527
atlas_CC_BODY,MD,37366,80711.995,0.000871,0.000119,0.000841,0.000136
atlas_CC_BODY,ISO,37366,80711.995,0.734264,0.034365,0.739886,0.047151
atlas_CC_BODY,RDI,37366,80711.995,0.505477,0.019531,0.508351,0.027956
atlas_CC_GENU,QA,11009,25703.999,0.280369,0.028135,0.279846,0.035621
atlas_CC_GENU,QIR,11009,25703.999,0.428519,0.045795,0.42259,0.061321
atlas_CC_GENU,FA,11009,25703.999,0.528729,0.063422,0.519895,0.082565
atlas_CC_GENU,AD,11009,25703.999,0.001296,6.5e-05,0.001292,6.7e-05
atlas_CC_GENU,RD,11009,25703.999,0.497353,0.092384,0.490493,0.109298
atlas_CC_GENU,MD,11009,25703.999,0.000807,6.1e-05,0.000795,6e-05
atlas_CC_GENU,ISO,11009,25703.999,0.689534,0.028131,0.693398,0.037356
atlas_CC_GENU,RDI,11009,25703.999,0.468204,0.015099,0.468789,0.020259
atlas_CC_ROSTRU,QA,15854,29143.998,0.269475,0.037057,0.268923,0.047879
atlas_CC_ROSTRU,QIR,15854,29143.998,0.412109,0.068914,0.416222,0.093017
atlas_CC_ROSTRU,FA,15854,29143.998,0.546725,0.082888,0.549314,0.102249
atlas_CC_ROSTRU,AD,15854,29143.998,0.001232,0.000105,0.001238,0.000141
atlas_CC_ROSTRU,RD,15854,29143.998,0.445233,0.109951,0.435005,0.109387
atlas_CC_ROSTRU,MD,15854,29143.998,0.000781,8.1e-05,0.000771,8e-05
atlas_CC_ROSTRU,ISO,15854,29143.998,0.689256,0.046614,0.685889,0.053838
atlas_CC_ROSTRU,RDI,15854,29143.998,0.467925,0.02377,0.466834,0.025423
atlas_CC_SPLENIU,QA,11717,27199.998,0.413312,0.032104,0.417546,0.035303
atlas_CC_SPLENIU,QIR,11717,27199.998,0.646274,0.05424,0.651572,0.064164
atlas_CC_SPLENIU,FA,11717,27199.998,0.564343,0.060537,0.579805,0.065656
atlas_CC_SPLENIU,AD,11717,27199.998,0.001581,0.000147,0.001547,0.000167
atlas_CC_SPLENIU,RD,11717,27199.998,0.60065,0.168576,0.540642,0.181378
atlas_CC_SPLENIU,MD,11717,27199.998,0.000936,0.000156,0.000886,0.000176
atlas_CC_SPLENIU,ISO,11717,27199.998,0.678425,0.023133,0.682531,0.033843
atlas_CC_SPLENIU,RDI,11717,27199.998,0.494633,0.017192,0.498915,0.022077
atlas_CG2_LEFT,QA,2906,14983.999,0.214431,0.053013,0.212986,0.062614
atlas_CG2_LEFT,QIR,2906,14983.999,0.301642,0.088331,0.297794,0.107414
atlas_CG2_LEFT,FA,2906,14983.999,0.379442,0.120507,0.358034,0.155446
atlas_CG2_LEFT,AD,2906,14983.999,0.001191,0.000143,0.001176,0.000144
atlas_CG2_LEFT,RD,2906,14983.999,0.669037,0.198152,0.655342,0.168706
atlas_CG2_LEFT,MD,2906,14983.999,0.000855,0.000159,0.000818,0.000107
atlas_CG2_LEFT,ISO,2906,14983.999,0.767043,0.068475,0.758926,0.067436
atlas_CG2_LEFT,RDI,2906,14983.999,0.497558,0.034005,0.494255,0.035423
atlas_CG2_RIGHT,QA,2974,18247.999,0.247869,0.044529,0.250742,0.045161
atlas_CG2_RIGHT,QIR,2974,18247.999,0.351332,0.072807,0.352353,0.084478
atlas_CG2_RIGHT,FA,2974,18247.999,0.448314,0.112304,0.438271,0.139029
atlas_CG2_RIGHT,AD,2974,18247.999,0.001228,0.000265,0.001178,0.000129
atlas_CG2_RIGHT,RD,2974,18247.999,0.600562,0.306448,0.556027,0.125435
atlas_CG2_RIGHT,MD,2974,18247.999,0.000829,0.000278,0.000777,4.8e-05
atlas_CG2_RIGHT,ISO,2974,18247.999,0.744251,0.066502,0.749885,0.087844
atlas_CG2_RIGHT,RDI,2974,18247.999,0.493327,0.040756,0.500217,0.049129
atlas_CG3_LEFT,QA,3275,10007.999,0.19696,0.057628,0.202386,0.08781
atlas_CG3_LEFT,QIR,3275,10007.999,0.292014,0.091074,0.298331,0.145107
atlas_CG3_LEFT,FA,3275,10007.999,0.271647,0.086299,0.279156,0.131221
atlas_CG3_LEFT,AD,3275,10007.999,0.001562,0.000467,0.001471,0.000502
atlas_CG3_LEFT,RD,3275,10007.999,1.103046,0.463836,1.043924,0.596911
atlas_CG3_LEFT,MD,3275,10007.999,0.001273,0.000468,0.001215,0.000562
atlas_CG3_LEFT,ISO,3275,10007.999,0.687289,0.090744,0.693727,0.085377
atlas_CG3_LEFT,RDI,3275,10007.999,0.442746,0.064401,0.455777,0.055544
atlas_CG3_RIGHT,QA,4123,11335.999,0.200985,0.070675,0.201028,0.119477
atlas_CG3_RIGHT,QIR,4123,11335.999,0.291637,0.096852,0.28284,0.15891
atlas_CG3_RIGHT,FA,4123,11335.999,0.257966,0.092229,0.258538,0.151365
atlas_CG3_RIGHT,AD,4123,11335.999,0.001478,0.000465,0.001336,0.000519
atlas_CG3_RIGHT,RD,4123,11335.999,1.058014,0.489787,0.89656,0.620818
atlas_CG3_RIGHT,MD,4123,11335.999,0.001204,0.000468,0.001042,0.000576
atlas_CG3_RIGHT,ISO,4123,11335.999,0.696765,0.133502,0.73179,0.183776
atlas_CG3_RIGHT,RDI,4123,11335.999,0.448464,0.092399,0.471705,0.132177
atlas_CG_LEFT,QA,1966,8472.0,0.238398,0.051628,0.220242,0.049158
atlas_CG_LEFT,QIR,1966,8472.0,0.345273,0.089613,0.312272,0.08222
atlas_CG_LEFT,FA,1966,8472.0,0.457821,0.103898,0.43151,0.12396
atlas_CG_LEFT,AD,1966,8472.0,0.001265,0.000113,0.001229,9.6e-05
atlas_CG_LEFT,RD,1966,8472.0,0.594369,0.131138,0.590339,0.161195
atlas_CG_LEFT,MD,1966,8472.0,0.000831,8.8e-05,0.000806,0.000111
atlas_CG_LEFT,ISO,1966,8472.0,0.731541,0.042228,0.742517,0.043249
atlas_CG_LEFT,RDI,1966,8472.0,0.481851,0.019217,0.48231,0.024322
atlas_CG_RIGHT,QA,1774,7088.0,0.271763,0.029037,0.274452,0.039588
atlas_CG_RIGHT,QIR,1774,7088.0,0.403411,0.051217,0.410634,0.072122
atlas_CG_RIGHT,FA,1774,7088.0,0.554313,0.053032,0.557533,0.069257
atlas_CG_RIGHT,AD,1774,7088.0,0.00128,5.9e-05,0.001282,8.1e-05
atlas_CG_RIGHT,RD,1774,7088.0,0.477454,0.056707,0.47168,0.052296
atlas_CG_RIGHT,MD,1774,7088.0,0.000766,3.8e-05,0.000761,3.1e-05
atlas_CG_RIGHT,ISO,1774,7088.0,0.696167,0.036857,0.69147,0.03071
atlas_CG_RIGHT,RDI,1774,7088.0,0.470123,0.018403,0.466516,0.018087
atlas_CST_LEFT,QA,8200,20119.999,0.340701,0.038185,0.337604,0.059632
atlas_CST_LEFT,QIR,8200,20119.999,0.446274,0.040121,0.441266,0.055709
atlas_CST_LEFT,FA,8200,20119.999,0.528279,0.043896,0.531618,0.060077
atlas_CST_LEFT,AD,8200,20119.999,0.001254,8.6e-05,0.001239,8e-05
atlas_CST_LEFT,RD,8200,20119.999,0.524984,0.085704,0.513382,0.085331
atlas_CST_LEFT,MD,8200,20119.999,0.000783,8.5e-05,0.000765,7.6e-05
atlas_CST_LEFT,ISO,8200,20119.999,0.771331,0.02683,0.769672,0.041474
atlas_CST_LEFT,RDI,8200,20119.999,0.534164,0.023603,0.532372,0.036424
atlas_CST_RIGHT,QA,7692,16631.999,0.342879,0.046761,0.341692,0.075224
atlas_CST_RIGHT,QIR,7692,16631.999,0.460375,0.057228,0.456013,0.089521
atlas_CST_RIGHT,FA,7692,16631.999,0.502582,0.050678,0.506092,0.078479
atlas_CST_RIGHT,AD,7692,16631.999,0.001224,5.9e-05,0.001224,7.1e-05
