bundle,metrics,n_streamlines,vol_mm3,mean,std,median,IQR
lh_B-ST_0,QA,924,4624.0,0.188064,0.048129,0.179534,0.075292
lh_B-ST_0,QIR,924,4624.0,0.261966,0.077089,0.248375,0.11852
lh_B-ST_0,FA,924,4624.0,0.348134,0.089184,0.335457,0.137973
lh_B-ST_0,AD,924,4624.0,0.001091,9.2e-05,0.001086,0.000107
lh_B-ST_0,RD,924,4624.0,0.641255,0.111995,0.639097,0.157645
lh_B-ST_0,MD,924,4624.0,0.000803,8.4e-05,0.000784,8.9e-05
lh_B-ST_0,ISO,924,4624.0,0.766913,0.047288,0.764082,0.060023
lh_B-ST_0,RDI,924,4624.0,0.49271,0.021727,0.490428,0.022141
lh_CMF-CMF_0,QA,3086,7936.0,0.25263,0.052259,0.254928,0.073996
lh_CMF-CMF_0,QIR,3086,7936.0,0.346007,0.080534,0.351417,0.120409
lh_CMF-CMF_0,FA,3086,7936.0,0.359179,0.071308,0.36768,0.094201
lh_CMF-CMF_0,AD,3086,7936.0,0.0011,7.8e-05,0.001115,0.000105
lh_CMF-CMF_0,RD,3086,7936.0,0.65919,0.111523,0.627648,0.111578
lh_CMF-CMF_0,MD,3086,7936.0,0.00081,8.9e-05,0.000787,9.8e-05
lh_CMF-CMF_0,ISO,3086,7936.0,0.780493,0.037237,0.768621,0.050003
lh_CMF-CMF_0,RDI,3086,7936.0,0.520577,0.011931,0.519544,0.01254
lh_CMF-CMF_1,QA,893,4024.0,0.25389,0.069909,0.259457,0.11868
lh_CMF-CMF_1,QIR,893,4024.0,0.319842,0.092294,0.323722,0.162676
lh_CMF-CMF_1,FA,893,4024.0,0.379927,0.095497,0.384639,0.168226
lh_CMF-CMF_1,AD,893,4024.0,0.001166,8e-05,0.001154,0.00011
lh_CMF-CMF_1,RD,893,4024.0,0.671089,0.125703,0.664524,0.204135
lh_CMF-CMF_1,MD,893,4024.0,0.000836,8.4e-05,0.000816,0.000125
lh_CMF-CMF_1,ISO,893,4024.0,0.821669,0.02687,0.816595,0.039451
lh_CMF-CMF_1,RDI,893,4024.0,0.539023,0.012395,0.539153,0.015208
lh_CMF-Op_0,QA,416,3848.0,0.179644,0.042628,0.180821,0.049026
lh_CMF-Op_0,QIR,416,3848.0,0.239745,0.063689,0.242167,0.073962
lh_CMF-Op_0,FA,416,3848.0,0.316885,0.081529,0.327855,0.094386
lh_CMF-Op_0,AD,416,3848.0,0.001042,0.000104,0.00103,0.000112
lh_CMF-Op_0,RD,416,3848.0,0.661356,0.156475,0.618354,0.101562
lh_CMF-Op_0,MD,416,3848.0,0.000805,0.000131,0.000768,9.7e-05
lh_CMF-Op_0,ISO,416,3848.0,0.799688,0.042841,0.794354,0.062722
lh_CMF-Op_0,RDI,416,3848.0,0.511984,0.017821,0.511116,0.01884
lh_CMF-PrC_0,QA,460,2456.0,0.264596,0.06119,0.264483,0.055407
lh_CMF-PrC_0,QIR,460,2456.0,0.328253,0.081208,0.326407,0.073687
lh_CMF-PrC_0,FA,460,2456.0,0.404955,0.073054,0.405022,0.049799
lh_CMF-PrC_0,AD,460,2456.0,0.001144,7.8e-05,0.001141,6.8e-05
lh_CMF-PrC_0,RD,460,2456.0,0.626422,0.087754,0.618415,0.074096
lh_CMF-PrC_0,MD,460,2456.0,0.000801,5.7e-05,0.000789,4.7e-05
lh_CMF-PrC_0,ISO,460,2456.0,0.832365,0.017951,0.832975,0.020568
lh_CMF-PrC_0,RDI,460,2456.0,0.551991,0.009845,0.552789,0.017355
lh_CMF-PrC_1,QA,1225,4176.0,0.270321,0.057743,0.286649,0.078731
lh_CMF-PrC_1,QIR,1225,4176.0,0.349119,0.078928,0.367244,0.107115
lh_CMF-PrC_1,FA,1225,4176.0,0.390028,0.072733,0.413975,0.079727
lh_CMF-PrC_1,AD,1225,4176.0,0.00108,0.000118,0.001071,8.6e-05
lh_CMF-PrC_1,RD,1225,4176.0,0.594243,0.157052,0.552656,0.10644
lh_CMF-PrC_1,MD,1225,4176.0,0.000765,0.000136,0.000729,7.7e-05
lh_CMF-PrC_1,ISO,1225,4176.0,0.808197,0.035572,0.80989,0.056254
lh_CMF-PrC_1,RDI,1225,4176.0,0.539148,0.02048,0.542038,0.031149
lh_CMF-PrC_2,QA,272,3368.0,0.177814,0.036449,0.172726,0.033446
lh_CMF-PrC_2,QIR,272,3368.0,0.23023,0.050622,0.225273,0.055878
lh_CMF-PrC_2,FA,272,3368.0,0.311818,0.054397,0.314565,0.067679
lh_CMF-PrC_2,AD,272,3368.0,0.001033,8.5e-05,0.001023,9.8e-05
lh_CMF-PrC_2,RD,272,3368.0,0.667246,0.099348,0.645363,0.12159
lh_CMF-PrC_2,MD,272,3368.0,0.000804,9.2e-05,0.000792,0.000121
lh_CMF-PrC_2,ISO,272,3368.0,0.808642,0.03027,0.802001,0.032032
lh_CMF-PrC_2,RDI,272,3368.0,0.515516,0.014727,0.513508,0.01462
lh_CMF-RMF_0,QA,197,3136.0,0.199997,0.031295,0.204648,0.035299
lh_CMF-RMF_0,QIR,197,3136.0,0.264179,0.048941,0.27189,0.056391
lh_CMF-RMF_0,FA,197,3136.0,0.325792,0.079058,0.307789,0.129092
lh_CMF-RMF_0,AD,197,3136.0,0.001082,7.5e-05,0.001087,9.8e-05
lh_CMF-RMF_0,RD,197,3136.0,0.694294,0.145813,0.664372,0.231102
lh_CMF-RMF_0,MD,197,3136.0,0.000838,0.000114,0.000803,0.00018
lh_CMF-RMF_0,ISO,197,3136.0,0.801517,0.043187,0.809712,0.050005
lh_CMF-RMF_0,RDI,197,3136.0,0.518597,0.020269,0.522338,0.029068
lh_CMF-RMF_1,QA,130,1304.0,0.216168,0.016374,0.21854,0.021284
lh_CMF-RMF_1,QIR,130,1304.0,0.28513,0.024299,0.289066,0.037714
lh_CMF-RMF_1,FA,130,1304.0,0.321398,0.021576,0.323093,0.030789
lh_CMF-RMF_1,AD,130,1304.0,0.00103,2.4e-05,0.001031,3e-05
lh_CMF-RMF_1,RD,130,1304.0,0.637325,0.038402,0.623614,0.045348
lh_CMF-RMF_1,MD,130,1304.0,0.000767,3.1e-05,0.000759,3.3e-05
lh_CMF-RMF_1,ISO,130,1304.0,0.800813,0.015471,0.794649,0.018622
lh_CMF-RMF_1,RDI,130,1304.0,0.520795,0.006099,0.518522,0.004328
lh_CMF-SF_0,QA,1638,6472.0,0.242903,0.044057,0.246859,0.05138
lh_CMF-SF_0,QIR,1638,6472.0,0.333145,0.068154,0.340922,0.076114
lh_CMF-SF_0,FA,1638,6472.0,0.376572,0.046679,0.377368,0.059629
lh_CMF-SF_0,AD,1638,6472.0,0.001161,8.5e-05,0.001154,9e-05
lh_CMF-SF_0,RD,1638,6472.0,0.666735,0.110018,0.64137,0.120766
lh_CMF-SF_0,MD,1638,6472.0,0.000827,9.1e-05,0.000802,8.4e-05
lh_CMF-SF_0,ISO,1638,6472.0,0.766369,0.029054,0.763394,0.044858
lh_CMF-SF_0,RDI,1638,6472.0,0.50796,0.01316,0.509422,0.017631
lh_CMF-SF_2,QA,791,5504.0,0.252419,0.036398,0.254798,0.04384
lh_CMF-SF_2,QIR,791,5504.0,0.330547,0.051095,0.335026,0.062817
lh_CMF-SF_2,FA,791,5504.0,0.366912,0.050619,0.376197,0.059332
lh_CMF-SF_2,AD,791,5504.0,0.001166,6.5e-05,0.001175,6.6e-05
lh_CMF-SF_2,RD,791,5504.0,0.679514,0.085897,0.66892,0.092803
lh_CMF-SF_2,MD,791,5504.0,0.000846,7.4e-05,0.000838,7e-05
lh_CMF-SF_2,ISO,791,5504.0,0.798806,0.019791,0.797898,0.022171
lh_CMF-SF_2,RDI,791,5504.0,0.527422,0.011516,0.526755,0.01367
lh_Cu-PeCa_0,QA,1238,4456.0,0.136606,0.025207,0.133166,0.03518
lh_Cu-PeCa_0,QIR,1238,4456.0,0.167602,0.029445,0.16376,0.038607
lh_Cu-PeCa_0,FA,1238,4456.0,0.217232,0.041009,0.218799,0.052829
lh_Cu-PeCa_0,AD,1238,4456.0,0.001089,9.5e-05,0.001075,0.000137
lh_Cu-PeCa_0,RD,1238,4456.0,0.809037,0.129227,0.787236,0.198113
lh_Cu-PeCa_0,MD,1238,4456.0,0.000913,0.000112,0.000895,0.000173
lh_Cu-PeCa_0,ISO,1238,4456.0,0.814958,0.029179,0.815681,0.047968
lh_Cu-PeCa_0,RDI,1238,4456.0,0.503653,0.021234,0.50467,0.035606
lh_Fu-Fu_3,QA,1346,4744.0,0.187106,0.039563,0.186798,0.049322
lh_Fu-Fu_3,QIR,1346,4744.0,0.227132,0.056877,0.228741,0.059511
lh_Fu-Fu_3,FA,1346,4744.0,0.269605,0.055407,0.274052,0.072906
lh_Fu-Fu_3,AD,1346,4744.0,0.001095,0.000138,0.001059,0.000128
lh_Fu-Fu_3,RD,1346,4744.0,0.723284,0.128732,0.679599,0.148912
lh_Fu-Fu_3,MD,1346,4744.0,0.000858,0.000124,0.000809,0.000131
lh_Fu-Fu_3,ISO,1346,4744.0,0.896462,0.063946,0.892,0.071428
lh_Fu-Fu_3,RDI,1346,4744.0,0.567667,0.031106,0.565859,0.035257
lh_Fu-LO_1,QA,1528,6168.0,0.200214,0.027633,0.200417,0.041002
lh_Fu-LO_1,QIR,1528,6168.0,0.278578,0.04415,0.278944,0.065348
lh_Fu-LO_1,FA,1528,6168.0,0.340009,0.039835,0.339549,0.055815
lh_Fu-LO_1,AD,1528,6168.0,0.001036,5.4e-05,0.00103,7.2e-05
lh_Fu-LO_1,RD,1528,6168.0,0.603187,0.058179,0.603709,0.073396
lh_Fu-LO_1,MD,1528,6168.0,0.000761,5e-05,0.000756,6e-05
lh_Fu-LO_1,ISO,1528,6168.0,0.764384,0.026966,0.765847,0.037399
lh_Fu-LO_1,RDI,1528,6168.0,0.494366,0.013172,0.495075,0.016531
lh_IC-PrCu_0,QA,680,4048.0,0.183484,0.03109,0.182738,0.034142
lh_IC-PrCu_0,QIR,680,4048.0,0.2458,0.047694,0.244155,0.052131
lh_IC-PrCu_0,FA,680,4048.0,0.290644,0.048446,0.289333,0.057825
lh_IC-PrCu_0,AD,680,4048.0,0.00103,7.1e-05,0.001023,8.3e-05
lh_IC-PrCu_0,RD,680,4048.0,0.6854,0.093796,0.67403,0.117207
lh_IC-PrCu_0,MD,680,4048.0,0.0008,8e-05,0.000791,9.7e-05
lh_IC-PrCu_0,ISO,680,4048.0,0.787465,0.032022,0.783389,0.030903
lh_IC-PrCu_0,RDI,680,4048.0,0.502462,0.015374,0.500582,0.01715
lh_IP-IP_0,QA,1167,8208.0,0.224074,0.045914,0.224661,0.063531
lh_IP-IP_0,QIR,1167,8208.0,0.300656,0.073306,0.295995,0.102809
lh_IP-IP_0,FA,1167,8208.0,0.355372,0.076599,0.361357,0.078148
lh_IP-IP_0,AD,1167,8208.0,0.001102,0.00011,0.001104,0.000145
lh_IP-IP_0,RD,1167,8208.0,0.642106,0.143879,0.606411,0.111811
lh_IP-IP_0,MD,1167,8208.0,0.000809,0.000119,0.000772,9.5e-05
lh_IP-IP_0,ISO,1167,8208.0,0.796416,0.0405,0.797089,0.055585
lh_IP-IP_0,RDI,1167,8208.0,0.516983,0.015109,0.517125,0.016744
lh_IP-IP_1,QA,3229,9871.999,0.189859,0.057749,0.191167,0.087717
lh_IP-IP_1,QIR,3229,9871.999,0.25973,0.087913,0.268126,0.133369
lh_IP-IP_1,FA,3229,9871.999,0.307998,0.086458,0.32476,0.121251
lh_IP-IP_1,AD,3229,9871.999,0.001039,9e-05,0.001022,9.9e-05
lh_IP-IP_1,RD,3229,9871.999,0.652152,0.106469,0.619993,0.132733
lh_IP-IP_1,MD,3229,9871.999,0.000798,8.3e-05,0.000769,9.4e-05
lh_IP-IP_1,ISO,3229,9871.999,0.791872,0.058405,0.774527,0.071779
lh_IP-IP_1,RDI,3229,9871.999,0.50881,0.025065,0.505776,0.027086
lh_IP-IP_2,QA,972,5680.0,0.184106,0.044266,0.177965,0.045152
lh_IP-IP_2,QIR,972,5680.0,0.235972,0.065339,0.225631,0.068514
lh_IP-IP_2,FA,972,5680.0,0.302196,0.064173,0.304185,0.064682
lh_IP-IP_2,AD,972,5680.0,0.001028,0.000116,0.001006,0.00017
lh_IP-IP_2,RD,972,5680.0,0.654206,0.124591,0.619987,0.115927
lh_IP-IP_2,MD,972,5680.0,0.000797,0.00011,0.000775,0.000104
lh_IP-IP_2,ISO,972,5680.0,0.829932,0.049727,0.827325,0.0697
lh_IP-IP_2,RDI,972,5680.0,0.528041,0.026346,0.527384,0.037988
lh_IP-LO_1,QA,1020,2792.0,0.194571,0.027474,0.198322,0.047397
